label,message
ham,Let me know if you need any help with your homework.
spam,You have been selected for a free cruise to the Bahamas! Call now.
ham,Happy birthday! Wish you all the best.
spam,"Get approved for a loan instantly, no credit check required!"
ham,Let me know if you need any help with your homework.
ham,Can you call me when you're free?
spam,Urgent! Your account has been compromised. Click here to secure it.
ham,Great job on your presentation today!
spam,Earn money from home. No experience needed. Apply now!
ham,That sounds great. Let’s plan it this weekend.
spam,"Get approved for a loan instantly, no credit check required!"
ham,Let me know if you need any help with your homework.
ham,"Sorry I missed your call, I was in a meeting."
spam,Congratulations! You've won a $1000 Walmart gift card. Go to http://bit.ly/123456 to claim now.
spam,Earn money from home. No experience needed. Apply now!
spam,Get cheap meds now!!! Limited offer! Visit pharma-now.biz
spam,Claim your free reward now by clicking the link below.
spam,Claim your free reward now by clicking the link below.
ham,"Hey, are we still meeting for lunch today?"
ham,Do you want me to pick up anything on the way?
spam,Earn money from home. No experience needed. Apply now!
ham,Great job on your presentation today!
ham,That sounds great. Let’s plan it this weekend.
ham,I’m on my way. See you in 10 minutes.
ham,Happy birthday! Wish you all the best.
spam,Free iPhone for survey participants. Only 2 spots left!
ham,I’m on my way. See you in 10 minutes.
spam,You won’t believe this weight loss secret! Try it for free today.
spam,You won’t believe this weight loss secret! Try it for free today.
spam,Act fast! This deal expires in 1 hour. Visit dealznow.com.
spam,Act fast! This deal expires in 1 hour. Visit dealznow.com.
spam,Act fast! This deal expires in 1 hour. Visit dealznow.com.
spam,"Get approved for a loan instantly, no credit check required!"
spam,Get cheap meds now!!! Limited offer! Visit pharma-now.biz
ham,Happy birthday! Wish you all the best.
spam,Free iPhone for survey participants. Only 2 spots left!
ham,Great job on your presentation today!
ham,Happy birthday! Wish you all the best.
ham,Can you call me when you're free?
spam,You have been selected for a free cruise to the Bahamas! Call now.
spam,Act fast! This deal expires in 1 hour. Visit dealznow.com.
ham,Can you call me when you're free?
spam,Earn money from home. No experience needed. Apply now!
spam,"Get approved for a loan instantly, no credit check required!"
ham,Don't forget to bring your book for class tomorrow.
spam,Congratulations! You've won a $1000 Walmart gift card. Go to http://bit.ly/123456 to claim now.
spam,Earn money from home. No experience needed. Apply now!
spam,Get cheap meds now!!! Limited offer! Visit pharma-now.biz
spam,Act fast! This deal expires in 1 hour. Visit dealznow.com.
